'Nikolski Radio Relay Site','Alaska','b1rvmg08hc0n',-1
'Los Angeles AFB','California','9q5bfnv803uz',-1
'Cape Cod AS','Massachusetts','drmvdc4bze5c',-1
'Columbus AFB','Mississippi','djcp7hpyge1e',-1
'Sheppard AFB','Texas','9y1cqddwqg9p',-1
'Little Rock AFB','Arkansas','9ynqx64f9cnj',-1
'Charleston Defense Fuel Support Point','South Carolina','djz55ztfyy10',-1
'Tonopah AFS','Nevada','9qu8uvx47hm1',-1
'Brooks AFB','Texas','9v1yzvwqhc0h',-1
'Laughlin AFB Aux 1','Texas','9v0t9sy6cusj',-1
'Nellis  Annex','Nevada','9qqnhj08kbdp',-1
'Kegelman Air Force Auxiliary Field','Oklahoma','9yd0zpz42yg7',-1
'Little Mountain Test Annex','Utah','9x24tvb86wz8',-1
'Robins AFB','Georgia','dju99wbv79r2',-1
'Chena River Research Site','Alaska','bex2z9eu444j',-1
'Malmstrom AFB','Montana','c82ymbpm9vsr',-1
