date,state,S,I,R,hospitalization,icu,ventilator,bed-usage,icu-usage,ventilator-usage
06/03/2020,Tennessee,3163019.026443613,198005.27087486887,3408985.702681516,5940.158126246066,891.0237189369099,792.0210834994755,0.32070824566710215,0.5808498819666948,0.4168532018418292
06/04/2020,Tennessee,3119270.9635879607,179360.73515201698,3471378.30126002,5380.822054560509,807.1233081840763,717.4429406080679,0.2905097751085471,0.5261560027275596,0.37760154768845683
06/05/2020,Tennessee,3080224.2822867297,161976.24581127524,3527809.471901993,4859.287374338257,728.8931061507385,647.904983245101,0.2623521960014176,0.47515847858587906,0.34100262276057947
06/06/2020,Tennessee,3045429.664726583,145878.795986108,3578701.5392873073,4376.363879583239,656.4545819374858,583.515183944432,0.23627922900244247,0.4279364940922333,0.3071132547075958
06/07/2020,Tennessee,3014466.9870446157,131062.81615374681,3624480.1968016354,3931.8844846124043,589.7826726918606,524.2512646149872,0.21228185318067186,0.3844737110116432,0.2759217182184143
06/08/2020,Tennessee,2986947.1507373927,117497.84008975669,3665565.0091728484,3524.9352026927004,528.7402804039051,469.99136035902677,0.19031072252957026,0.34468075645626145,0.247363873873172
06/09/2020,Tennessee,2962512.6463622944,105135.16549049903,3702362.188147204,3154.0549647149705,473.1082447072456,420.54066196199614,0.17028695414722872,0.30841476186913014,0.22133719050631376
06/10/2020,Tennessee,2940836.937248917,93913.3788201911,3735259.6839308892,2817.401364605733,422.6102046908599,375.6535152807644,0.15211107680627,0.27549557020264664,0.1977123764635602
06/11/2020,Tennessee,2921623.4236063077,83762.94054154535,3764623.6358521446,2512.8882162463606,376.93323243695403,335.0517621661814,0.13567045763126878,0.24571918672552415,0.17634303271904284
06/12/2020,Tennessee,2904603.8591276235,74609.81575533608,3790796.3251170376,2238.294472660082,335.7441708990123,298.43926302134435,0.12084518262931013,0.218868429529995,0.15707329632702333
06/13/2020,Tennessee,2889536.4951751754,66378.29074850571,3814095.2140763174,1991.3487224551711,298.7023083682757,265.5131629940228,0.10751261864027487,0.19472119189587725,0.13974376999685412
06/14/2020,Tennessee,2876204.1673954576,58993.100785523515,3834812.731819017,1769.7930235657054,265.4689535348558,235.97240314209407,0.09555085971092243,0.17305668418178344,0.12419600165373372
06/15/2020,Tennessee,2864412.2775143185,52381.02235588525,3853216.7001297944,1571.4306706765576,235.71460060148362,209.524089423541,0.08484130605099652,0.15366010469457864,0.11027583653870579
06/16/2020,Tennessee,2853986.842703242,46471.943394029586,3869551.213902727,1394.1583018208876,209.12374527313312,185.88777357611835,0.07527039746360477,0.13632577918717936,0.09783567030322018
06/17/2020,Tennessee,2844772.6004636767,41199.6117733444,3884037.7877629767,1235.9883532003319,185.39825298004976,164.7984470933776,0.06673082567759053,0.1208593565710885,0.08673602478598821
06/18/2020,Tennessee,2836631.216307621,36502.06403958327,3896876.7196527934,1095.061921187498,164.25928817812468,146.00825615833307,0.05912222876511705,0.10707906660894699,0.07684645060964898
06/19/2020,Tennessee,2829439.6064179805,32321.843804240507,3908248.5497777765,969.6553141272152,145.44829711908227,129.28737521696203,0.052351544872433604,0.09481636057306536,0.06804598695629581
06/20/2020,Tennessee,2823088.387628053,28606.051483540454,3918315.560888404,858.1815445062135,128.72723167593205,114.42420593416182,0.046333092781892536,0.08391605715510564,0.0602232662811378
